Tier,Market,Market full name,Revenue,UA Spend,ARPPU,MIN ARPPU (for tiers),MAX ARPPU (for tiers),Genre
Europe & Middle East (Tier 1),DNK,Denmark,0.002,0.001,25.39,,,Casino
Europe & Middle East (Tier 1),KWT,Kuwait,0.012,0.001,64.51,,,Casino
Europe & Middle East (Tier 1),QAT,Qatar,0.000,0.000,78.14,,,Casino
Europe & Middle East (Tier 2),RUS,Russia,0.001,0.001,26.62,,,Casino
Europe & Middle East (Tier 2),TUR,Turkiye,0.020,0.014,19.05,,,Casino
Europe & Middle East (Tier 2),POL,Poland,0.006,0.003,18.14,,,Casino
Europe & Middle East (Tier 2),SAU,Saudi Arabia,0.003,0.007,49.27,,,Casino
Europe & Middle East (Tier 2),UKR,Ukraine,0.001,0.003,16.52,,,Casino
Europe & Middle East (Tier 2),ROU,Romania,0.003,0.002,16.86,,,Casino
Europe & Middle East (Tier 2),CZE,Czechia,0.002,0.001,17.23,,,Casino
Europe & Middle East (Tier 2),GRC,Greece,0.003,0.001,22.14,,,Casino
Europe & Middle East (Tier 2),PRT,Portugal,0.001,0.001,19.67,,,Casino
Europe & Middle East (Tier 2),HUN,Hungary,0.002,0.001,15.54,,,Casino
Europe & Middle East (Tier 2),FIN,Finland,0.001,0.001,17.95,,,Casino
Europe & Middle East (Tier 2),BGR,Bulgaria,0.003,0.001,15.39,,,Casino
Europe & Middle East (Tier 2),SVK,Slovakia,0.001,0.000,19.16,,,Casino
Europe & Middle East (Tier 2),HRV,Croatia,0.001,0.000,19.52,,,Casino
Europe & Middle East (Tier 2),SRB,Serbia,0.003,0.001,32.98,,,Casino
Europe & Middle East (Tier 2),BLR,Belarus,0.001,0.000,54.07,,,Casino
Europe & Middle East (Tier 2),LTU,Lithuania,0.000,0.001,20.60,,,Casino
Europe & Middle East (Tier 2),ALB,Albania,0.004,0.000,38.55,,,Casino
Global Developing Markets,BRA,Brazil,0.026,0.003,14.16,,,Casino
Global Developing Markets,THA,Thailand,0.003,0.003,19.68,,,Casino
Global Developing Markets,IDN,Indonesia,0.003,0.004,15.85,,,Casino
Global Developing Markets,VNM,Vietnam,0.004,0.014,30.98,,,Casino
Global Developing Markets,PHL,Philippines,0.004,0.003,15.71,,,Casino
Global Developing Markets,IND,India,0.008,0.004,27.81,,,Casino
Global Developing Markets,MYS,Malaysia,0.008,0.005,17.86,,,Casino
Global Developing Markets,ZAF,South Africa,0.002,0.003,18.42,,,Casino
Global Developing Markets,KAZ,Kazakhstan,0.000,0.000,13.54,,,Casino
Global Developing Markets,EGY,Egypt,0.000,0.000,69.17,,,Casino
Global Developing Markets,IRQ,Iraq,0.001,0.001,32.22,,,Casino
Global Developing Markets,PAK,Pakistan,0.000,0.000,33.13,,,Casino
Global Developing Markets,NGA,Nigeria,0.001,0.000,10.88,,,Casino
LATAM Spanish Speaking,MEX,Mexico,0.004,0.002,19.26,,,Casino
LATAM Spanish Speaking,CHL,Chile,0.002,0.001,13.33,,,Casino
LATAM Spanish Speaking,COL,Colombia,0.001,0.000,10.72,,,Casino
LATAM Spanish Speaking,ARG,Argentina,0.001,0.000,14.14,,,Casino
LATAM Spanish Speaking,PER,Peru,0.000,0.000,14.48,,,Casino
LATAM Spanish Speaking,PRI,Puerto Rico,0.001,0.000,32.17,,,Casino
LATAM Spanish Speaking,CRI,Costa Rica,0.000,0.000,20.27,,,Casino
LATAM Spanish Speaking,ECU,Ecuador,0.000,0.000,20.97,,,Casino
US and English Language Markets,USA,U.S.,0.479,0.235,0.98,,,Hypercasual
US and English Language Markets,AUS,Australia,0.022,0.016,0.75,,,Hypercasual
US and English Language Markets,IRL,Ireland,0.002,0.003,0.44,,,Hypercasual
US and English Language Markets,CAN,Canada,0.029,0.021,0.63,,,Hypercasual
US and English Language Markets,NZL,New Zealand,0.003,0.004,0.55,,,Hypercasual
US and English Language Markets,GBR,U.K.,0.055,0.042,0.58,,,Hypercasual
East Asia Pacific,KOR,South Korea,0.038,0.019,0.79,,,Hypercasual
East Asia Pacific,JPN,Japan,0.051,0.031,0.74,,,Hypercasual
East Asia Pacific,TWN,Taiwan,0.015,0.009,0.63,,,Hypercasual
East Asia Pacific,HKG,Hong Kong,0.004,0.000,0.62,,,Hypercasual
East Asia Pacific,SGP,Singapore,0.003,0.001,0.52,,,Hypercasual
East Asia Pacific,MAC,Macao SAR,0.000,0.000,3.67,,,Hypercasual
Europe & Middle East (Tier 1),DEU,Germany,0.043,0.040,0.49,,,Hypercasual
Europe & Middle East (Tier 1),FRA,France,0.024,0.026,0.29,,,Hypercasual
Europe & Middle East (Tier 1),ITA,Italy,0.011,0.013,0.23,,,Hypercasual
Europe & Middle East (Tier 1),ESP,Spain,0.008,0.012,0.20,,,Hypercasual
Europe & Middle East (Tier 1),NLD,Netherlands,0.008,0.011,0.37,,,Hypercasual
Europe & Middle East (Tier 1),CHE,Switzerland,0.009,0.004,0.87,,,Hypercasual
Europe & Middle East (Tier 1),AUT,Austria,0.005,0.004,0.60,,,Hypercasual
Europe & Middle East (Tier 1),BEL,Belgium,0.004,0.005,0.32,,,Hypercasual
Europe & Middle East (Tier 1),SWE,Sweden,0.005,0.006,0.38,,,Hypercasual
Europe & Middle East (Tier 1),ISR,Israel,0.003,0.006,0.20,,,Hypercasual
Europe & Middle East (Tier 1),NOR,Norway,0.004,0.003,0.59,,,Hypercasual
Europe & Middle East (Tier 1),ARE,UAE,0.004,0.006,0.23,,,Hypercasual
Europe & Middle East (Tier 1),DNK,Denmark,0.003,0.003,0.44,,,Hypercasual
Europe & Middle East (Tier 1),KWT,Kuwait,0.002,0.003,0.34,,,Hypercasual
Europe & Middle East (Tier 1),QAT,Qatar,0.001,0.001,0.40,,,Hypercasual
Europe & Middle East (Tier 2),RUS,Russia,0.029,0.032,0.18,,,Hypercasual
Europe & Middle East (Tier 2),TUR,Turkiye,0.009,0.024,0.10,,,Hypercasual
Europe & Middle East (Tier 2),POL,Poland,0.007,0.009,0.20,,,Hypercasual
Europe & Middle East (Tier 2),SAU,Saudi Arabia,0.009,0.009,0.16,,,Hypercasual
Europe & Middle East (Tier 2),UKR,Ukraine,0.003,0.007,0.11,,,Hypercasual
Europe & Middle East (Tier 2),ROU,Romania,0.002,0.004,0.17,,,Hypercasual
Europe & Middle East (Tier 2),CZE,Czechia,0.003,0.005,0.24,,,Hypercasual
Europe & Middle East (Tier 2),GRC,Greece,0.002,0.002,0.20,,,Hypercasual
Europe & Middle East (Tier 2),PRT,Portugal,0.002,0.004,0.19,,,Hypercasual
Europe & Middle East (Tier 2),HUN,Hungary,0.001,0.002,0.16,,,Hypercasual
Europe & Middle East (Tier 2),FIN,Finland,0.001,0.003,0.33,,,Hypercasual
Europe & Middle East (Tier 2),BGR,Bulgaria,0.001,0.002,0.16,,,Hypercasual
Europe & Middle East (Tier 2),SVK,Slovakia,0.001,0.001,0.23,,,Hypercasual
Europe & Middle East (Tier 2),HRV,Croatia,0.001,0.001,0.25,,,Hypercasual
Europe & Middle East (Tier 2),SRB,Serbia,0.000,0.002,0.11,,,Hypercasual
Europe & Middle East (Tier 2),BLR,Belarus,0.000,0.002,0.09,,,Hypercasual
Europe & Middle East (Tier 2),LTU,Lithuania,0.000,0.002,0.27,,,Hypercasual
Europe & Middle East (Tier 2),ALB,Albania,0.000,0.001,0.94,,,Hypercasual
Global Developing Markets,BRA,Brazil,0.024,0.052,0.13,,,Hypercasual
Global Developing Markets,THA,Thailand,0.005,0.009,0.15,,,Hypercasual
Global Developing Markets,IDN,Indonesia,0.005,0.025,0.07,,,Hypercasual
Global Developing Markets,VNM,Vietnam,0.004,0.018,0.06,,,Hypercasual
Global Developing Markets,PHL,Philippines,0.005,0.011,0.10,,,Hypercasual
Global Developing Markets,IND,India,0.010,0.052,0.04,,,Hypercasual
Global Developing Markets,MYS,Malaysia,0.004,0.007,0.15,,,Hypercasual
Global Developing Markets,ZAF,South Africa,0.003,0.003,0.16,,,Hypercasual
Global Developing Markets,KAZ,Kazakhstan,0.001,0.007,0.08,,,Hypercasual
Global Developing Markets,EGY,Egypt,0.001,0.009,0.03,,,Hypercasual
Global Developing Markets,IRQ,Iraq,0.001,0.011,0.02,,,Hypercasual
Global Developing Markets,PAK,Pakistan,0.001,0.008,0.01,,,Hypercasual
Global Developing Markets,NGA,Nigeria,0.000,0.001,0.05,,,Hypercasual
LATAM Spanish Speaking,MEX,Mexico,0.016,0.031,0.13,,,Hypercasual
LATAM Spanish Speaking,CHL,Chile,0.003,0.006,0.13,,,Hypercasual
LATAM Spanish Speaking,COL,Colombia,0.002,0.009,0.05,,,Hypercasual
LATAM Spanish Speaking,ARG,Argentina,0.002,0.010,0.05,,,Hypercasual
LATAM Spanish Speaking,PER,Peru,0.001,0.005,0.06,,,Hypercasual
LATAM Spanish Speaking,PRI,Puerto Rico,0.001,0.001,0.35,,,Hypercasual
LATAM Spanish Speaking,CRI,Costa Rica,0.001,0.001,0.13,,,Hypercasual
LATAM Spanish Speaking,ECU,Ecuador,0.001,0.004,0.04,,,Hypercasual
